TimeStamp,sst,sd,dlprbUsage,partition
21:57:42,1,0,0.000000,40
21:57:44,1,16777210,0.000000,11
21:57:44,1,0,0.000000,40
21:57:46,1,16777210,0.000000,11
21:57:46,1,0,0.000000,40
21:57:48,1,16777210,0.000000,11
21:57:48,1,0,0.000000,40
21:57:50,1,16777210,0.000000,11
21:57:50,1,0,0.000000,40
21:57:52,1,16777210,0.000000,11
21:57:52,1,0,0.000000,40
21:57:54,1,16777210,0.000000,11
21:57:54,1,0,0.000000,40
21:57:56,1,16777210,0.000000,11
21:57:56,1,0,0.000000,40
21:57:58,1,16777210,0.000000,11
21:57:58,1,0,0.000000,40
21:58:00,1,16777210,0.000000,11
21:58:00,1,0,0.000000,40
21:58:02,1,16777210,0.000000,11
21:58:02,1,0,0.000000,40
21:58:04,1,16777210,0.000000,11
21:58:04,1,0,0.000000,40
21:58:06,1,16777210,0.000000,11
21:58:06,1,0,0.000000,40
21:58:08,1,16777210,0.000000,11
21:58:08,1,0,0.000000,40
21:58:10,1,16777210,0.000000,11
21:58:10,1,0,0.000000,40
21:58:12,1,16777210,0.000000,11
21:58:12,1,0,0.000000,40
21:58:14,1,16777210,0.000000,11
21:58:14,1,0,0.000000,40
21:58:16,1,16777210,0.000000,11
21:58:16,1,0,0.000000,40
21:58:18,1,16777210,0.000000,11
21:58:18,1,0,0.000000,40
21:58:20,1,16777210,0.000000,11
21:58:20,1,0,0.000000,40
21:58:22,1,16777210,0.000000,11
21:58:22,1,0,0.000000,40
21:58:24,1,16777210,0.000000,11
21:58:24,1,0,0.000000,40
21:58:26,1,16777210,0.000000,11
21:58:26,1,0,0.000000,40
21:58:28,1,16777210,0.000000,11
21:58:28,1,0,0.000000,40
21:58:30,1,16777210,0.000000,11
21:58:30,1,0,0.000000,40
21:58:32,1,16777210,0.000000,11
21:58:32,1,0,0.000000,40
21:58:34,1,16777210,0.000000,11
21:58:34,1,0,0.000000,40
21:58:36,1,16777210,0.000000,11
21:58:36,1,0,0.000000,40
21:58:38,1,16777210,0.000000,11
21:58:38,1,0,0.000000,40
21:58:40,1,16777210,0.000000,11
21:58:40,1,0,0.000000,40
21:58:42,1,16777210,0.000000,11
21:58:42,1,0,0.000000,40
21:58:44,1,16777210,0.000000,11
21:58:44,1,0,0.000000,40
21:58:46,1,16777210,0.000000,11
21:58:46,1,0,0.000000,40
21:58:48,1,16777210,0.000000,11
21:58:48,1,0,0.000000,40
21:58:50,1,16777210,0.000000,11
21:58:50,1,0,0.000000,40
21:58:52,1,16777210,0.000000,11
21:58:52,1,0,0.000000,40
21:58:54,1,16777210,0.000000,11
21:58:54,1,0,0.000000,40
21:58:56,1,16777210,0.000000,11
21:58:56,1,0,0.000000,40
21:58:59,1,16777210,0.000000,11
21:58:59,1,0,0.000000,40
21:59:01,1,16777210,0.000000,11
21:59:01,1,0,0.000000,40
21:59:03,1,16777210,0.000000,11
21:59:03,1,0,0.000000,40
21:59:05,1,16777210,0.000000,11
21:59:05,1,0,0.000000,40
21:59:07,1,16777210,0.000000,11
21:59:07,1,0,0.000000,40
21:59:09,1,16777210,0.000000,11
21:59:09,1,0,0.000000,40
21:59:11,1,16777210,0.000000,11
21:59:11,1,0,0.000000,40
21:59:13,1,16777210,0.000000,11
21:59:13,1,0,0.000000,40
21:59:15,1,16777210,0.000000,11
21:59:15,1,0,0.000000,40
21:59:17,1,16777210,0.000000,11
21:59:17,1,0,0.000000,40
21:59:19,1,16777210,0.000000,11
21:59:19,1,0,0.000000,40
21:59:21,1,16777210,0.000000,11
21:59:21,1,0,0.000000,40
