,time,normal_time,partition,prbUsage,sd,sst
1802,2024-09-23T01:32:33Z,01:32:33,40,0.0,0,1
1803,2024-09-23T01:32:33Z,01:32:33,11,0.009091,16777210,1
1804,2024-09-23T01:32:38Z,01:32:38,40,0.417083,0,1
1805,2024-09-23T01:32:38Z,01:32:38,11,0.001515,16777210,1
1806,2024-09-23T01:32:43Z,01:32:43,40,0.0025,0,1
1807,2024-09-23T01:32:43Z,01:32:43,11,0.0,16777210,1
1808,2024-09-23T01:32:48Z,01:32:48,40,0.0,0,1
1809,2024-09-23T01:32:48Z,01:32:48,11,0.00303,16777210,1
1810,2024-09-23T01:32:53Z,01:32:53,40,0.0,0,1
1811,2024-09-23T01:32:53Z,01:32:53,11,0.004545,16777210,1
1812,2024-09-23T01:32:58Z,01:32:58,40,0.0025,0,1
1813,2024-09-23T01:32:58Z,01:32:58,11,0.0,16777210,1
1814,2024-09-23T01:33:03Z,01:33:03,40,0.0,0,1
1815,2024-09-23T01:33:03Z,01:33:03,11,0.340909,16777210,1
1816,2024-09-23T01:33:08Z,01:33:08,40,0.0,0,1
1817,2024-09-23T01:33:08Z,01:33:08,11,0.0,16777210,1
1818,2024-09-23T01:33:13Z,01:33:13,40,0.947917,0,1
1819,2024-09-23T01:33:13Z,01:33:13,11,0.0,16777210,1
1820,2024-09-23T01:33:18Z,01:33:18,40,0.005833,0,1
1821,2024-09-23T01:33:18Z,01:33:18,11,0.013636,16777210,1
1822,2024-09-23T01:33:23Z,01:33:23,40,3.353333,0,1
1823,2024-09-23T01:33:23Z,01:33:23,11,0.006061,16777210,1
1824,2024-09-23T01:33:28Z,01:33:28,40,7.339167,0,1
1825,2024-09-23T01:33:28Z,01:33:28,11,0.0,16777210,1
1826,2024-09-23T01:33:33Z,01:33:33,40,10.74375,0,1
1827,2024-09-23T01:33:33Z,01:33:33,11,0.009091,16777210,1
1828,2024-09-23T01:33:38Z,01:33:38,40,21.675417,0,1
1829,2024-09-23T01:33:38Z,01:33:38,11,0.040909,16777210,1
1830,2024-09-23T01:33:43Z,01:33:43,40,30.65625,0,1
1831,2024-09-23T01:33:43Z,01:33:43,11,0.278788,16777210,1
1832,2024-09-23T01:33:48Z,01:33:48,40,40.269167,0,1
1833,2024-09-23T01:33:48Z,01:33:48,11,6.765152,16777210,1
1834,2024-09-23T01:33:53Z,01:33:53,40,50.940417,0,1
1835,2024-09-23T01:33:53Z,01:33:53,11,53.162121,16777210,1
1836,2024-09-23T01:33:58Z,01:33:58,40,60.584772,0,1
1837,2024-09-23T01:33:58Z,01:33:58,11,93.073962,16777210,1
1838,2024-09-23T01:34:03Z,01:34:03,40,60.959005,0,1
1839,2024-09-23T01:34:03Z,01:34:03,11,96.84005,16777210,1
1840,2024-09-23T01:34:08Z,01:34:08,40,60.892579,0,1
